gen,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
66,-998.9363,-1000.3645,-998.93945,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,14.334076,13.032526,9.599682,13.032093,13.033813,13.111995,6,6,6,8,8,19.386667,16.483334,17.4,21.573334,21.916666
67,-998.9363,-1000.3645,-998.93994,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032266,13.033859,13.293439,6,6,6,8,8,19.44,16.906666,17.153334,21.713333,22.163334
68,-998.9363,-1000.3645,-998.93994,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032266,13.033859,13.293438,6,6,6,8,8,19.453333,16.96,17.48,21.183332,21.783333
69,-998.9363,-1000.3645,-998.93994,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032266,13.033859,13.293438,6,6,6,8,8,19.276667,17.173334,17.503334,21.383333,21.666666
70,-998.9363,-1000.3645,-998.93994,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032266,13.033859,13.293438,6,6,6,8,8,19.22,17.156666,17.646667,21.45,21.91
71,-998.9363,-1000.3645,-998.93994,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032266,13.033859,13.293438,6,6,6,8,8,19.376667,17.196667,17.633333,21.646667,22.15
72,-998.9363,-998.9436,-998.93945,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032508,13.033859,13.293438,6,6,6,8,8,19.316668,17.016666,17.466667,21.656666,22.06
73,-998.9363,-998.9436,-998.93994,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032508,13.033859,13.293438,6,6,6,8,8,19.363333,16.856667,17.076666,21.69,22.306667
74,-998.9363,-998.9436,-998.93994,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032508,13.033859,13.293438,6,6,6,8,8,19.243334,16.41,17.323334,21.46,21.866667
75,-998.9363,-998.9436,-998.93994,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032266,13.033859,13.293438,6,6,6,8,8,19.4,16.423334,16.916666,21.623333,22.486666
76,-998.9363,-1011.9939,-998.9404,-998.9363,-998.9363,-976.24713,-976.4864,-976.46136,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,14.334076,13.032526,9.599684,13.032266,13.033859,17.320852,6,6,6,8,8,19.59,16.39,17.253334,21.266666,22.36
77,-998.9363,-1011.9939,-998.9407,-998.9363,-998.9363,-976.24713,-976.4864,-976.46136,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,14.334076,13.032526,9.599684,13.032266,13.033859,17.320852,6,6,6,8,8,19.316668,16.506666,17.363333,21.49,22.113333
78,-998.9363,-1012.21094,-998.94165,-998.9363,-998.9363,-976.24713,-978.6614,-976.46136,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,17.513191,13.032526,9.599684,13.032093,13.033859,17.320852,6,6,6,8,9,19.326666,16.656666,17.193333,21.3,21.776667
79,-998.9363,-1013.26636,-998.9419,-998.9363,-998.9363,-976.24713,-979.2551,-976.46136,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,19.4591,13.032526,9.599684,13.032093,13.033859,17.320852,6,6,6,8,10,19.183332,16.596666,17.22,21.71,22.173334
80,-998.9363,-1013.26636,-998.9419,-998.9363,-998.9363,-976.24713,-979.2551,-976.46136,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,19.4591,13.032526,9.599684,13.032093,13.033859,17.320852,6,6,6,8,10,19.253334,16.456667,16.876667,21.876667,22.236666
