gen,fevals_median,fevals_p5,fevals_p10,fevals_p90,fevals_p95,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
31,107345,93818,96811,118730,121415,0.00039419884,0.00014074674,0.00017012011,0.00066869595,0.00076322263,0.0013920093,0.00026474622,0.00043625323,0.060755637,0.24599685,-575.0894775390625,-693.5272216796875,-671.7297973632812,-514.31494140625,-499.109619140625,-336.5545654296875,-492.2063293457031,-444.1814880371094,3.4028234663852886e38,3.4028234663852886e38,176.42838,95.91581,112.70108,235.97534,238.54028,65.5994,30.167757,32.648502,3.4028235e38,3.4028235e38,71,40,47,95,96,49.092564,45.184933,46.075165,52.40289,52.89706
32,111163,97315,100145,122918,125679,0.00039036782,0.00013129899,0.00016614371,0.0006467438,0.0007109676,0.0015580868,0.0003392057,0.00044087006,0.04659436,0.2191358,-576.2125244140625,-701.5180053710938,-674.4497680664062,-518.153564453125,-507.2657470703125,-331.213134765625,-473.21697998046875,-440.2135009765625,3.4028234663852886e38,3.4028234663852886e38,176.42838,103.1095,112.70108,235.97534,238.55104,70.29388,30.167757,33.198425,3.4028235e38,3.4028235e38,73,43,47,95,98,49.784733,46.057755,46.9687,52.716503,53.252632
33,114935,100755,103538,126991,130082,0.0003689299,0.00013129899,0.00014762634,0.00063784973,0.0006846247,0.0012522612,0.00029556736,0.00039756426,0.04659436,0.14569484,-582.7081298828125,-701.5180053710938,-688.0391845703125,-519.7460327148438,-511.60772705078125,-335.7774963378906,-492.2063293457031,-435.4339904785156,3.4028234663852886e38,3.4028234663852886e38,176.42838,90.086205,112.70108,233.58122,237.39163,70.29388,30.562725,34.283825,3.4028235e38,3.4028235e38,73,41,47,95,96,50.29272,46.368336,47.774883,53.19529,53.69023
34,118701,103969,106790,131439,134482,0.00036776374,0.00010891144,0.00013554908,0.00061495084,0.0006846247,0.0011748542,0.00029556736,0.00041297023,0.04659436,0.11633319,-583.0721435546875,-723.0162963867188,-697.8544921875,-523.9505004882812,-511.60772705078125,-335.7774963378906,-495.365234375,-444.1814880371094,3.4028234663852886e38,3.4028234663852886e38,179.84215,90.086205,112.70108,235.97534,238.55104,72.12032,30.167757,33.38198,3.4028235e38,3.4028235e38,74,41,47,95,96,50.987324,47.014565,48.402523,53.509113,54.035763
35,122701,107309,110063,135882,138643,0.00036776374,0.00010891144,0.00013554908,0.00061495084,0.0006846247,0.0011635923,0.00029651655,0.00043625323,0.04678407,0.11633319,-583.0721435546875,-723.0162963867188,-697.8544921875,-523.9505004882812,-511.60772705078125,-336.5545654296875,-495.365234375,-444.1814880371094,3.4028234663852886e38,3.4028234663852886e38,181.39818,103.616325,116.4529,236.06613,243.52086,71.323166,29.157904,33.357197,3.4028235e38,3.4028235e38,74,43,47,95,99,51.52479,47.568504,48.909092,53.906292,54.341427
36,126445,111002,113415,140205,142767,0.00036680154,0.00010271063,0.00013554908,0.0006109532,0.00064243947,0.0012130165,0.00029651655,0.00043045598,0.036291998,0.2191358,-583.3734741210938,-729.757568359375,-697.8544921875,-524.7005004882812,-518.9215087890625,-336.5545654296875,-495.365234375,-460.74798583984375,3.4028234663852886e38,3.4028234663852886e38,181.39818,99.39626,116.4529,235.97534,238.55104,73.62517,28.163198,33.38198,3.4028235e38,3.4028235e38,75,41,48,95,97,51.946476,48.253048,49.244953,54.343075,54.63456
37,130143,114700,116717,144618,147137,0.00034722075,0.00010194012,0.00013302032,0.00058378186,0.00064243947,0.0014874293,0.00029651655,0.00043045598,0.036291998,0.2191358,-589.682373046875,-730.6234741210938,-700.0201416015625,-529.9321899414062,-518.9215087890625,-338.00244140625,-495.365234375,-460.74798583984375,3.4028234663852886e38,3.4028234663852886e38,182.24004,99.39626,116.4529,235.97534,241.03595,71.323166,24.841015,30.562725,3.4028235e38,3.4028235e38,75,41,48,95,97,52.302177,48.96875,49.821575,54.705208,54.93645
38,133934,118440,120144,148857,151497,0.00034198244,0.00010194012,0.00013302032,0.00057078275,0.00064243947,0.0014874293,0.00029651655,0.00042625627,0.036291998,0.25521186,-591.4304809570312,-730.6234741210938,-700.0201416015625,-532.5218505859375,-518.9215087890625,-337.1035461425781,-495.365234375,-442.94805908203125,3.4028234663852886e38,3.4028234663852886e38,184.56686,105.50739,124.24533,236.06613,241.03595,73.62517,24.450945,33.38198,3.4028235e38,3.4028235e38,77,45,53,95,97,52.669323,49.27566,50.215508,54.993607,55.245636
39,137673,121717,123664,153244,155804,0.00034186308,0.00010194012,0.00013275913,0.0005449155,0.00064243947,0.0012522612,0.00029651655,0.00037496214,0.026180921,0.2191358,-591.470703125,-730.6234741210938,-700.2461547851562,-537.8553466796875,-518.9215087890625,-338.41302490234375,-496.5235900878906,-460.74798583984375,3.4028234663852886e38,3.4028234663852886e38,191.33781,105.50739,127.08845,236.06613,241.03595,72.12032,24.841015,33.38198,3.4028235e38,3.4028235e38,77,45,53,95,97,53.132824,49.954544,50.737278,55.308674,55.543102
40,141609,125598,126957,157493,159965,0.00033851963,0.00010194012,0.00012985991,0.00053836766,0.00064243947,0.0014874293,0.00029651655,0.00037496214,0.038855135,0.2191358,-592.6008911132812,-730.6234741210938,-702.7853393554688,-539.2455444335938,-518.9215087890625,-351.9036865234375,-496.5235900878906,-473.21697998046875,3.4028234663852886e38,3.4028234663852886e38,184.63794,105.50739,124.33959,236.06613,241.03595,71.14395,30.167757,35.039043,3.4028235e38,3.4028235e38,77,45,53,95,97,53.473213,50.421497,51.154613,55.488777,55.855804
41,145539,129135,130431,161572,164207,0.00032634672,0.00010194012,0.00012783826,0.00053836766,0.00064243947,0.0015171245,0.00029556736,0.00035319637,0.031417266,0.2191358,-596.8123779296875,-730.6234741210938,-704.5897827148438,-539.2455444335938,-518.9215087890625,-338.41302490234375,-496.5235900878906,-473.21697998046875,3.4028234663852886e38,3.4028234663852886e38,191.33781,105.50739,116.4529,233.58122,241.03595,72.51265,30.974627,35.262753,3.4028235e38,3.4028235e38,78,44,50,95,97,53.756226,51.028267,51.58655,55.726124,56.002476
42,149396,132845,133822,165854,168689,0.00030565358,9.205872e-5,0.0001186061,0.00053180364,0.00064243947,0.0012577804,0.00023831734,0.00032398844,0.026180921,0.072770074,-604.3458251953125,-742.3487548828125,-713.2099609375,-540.6563110351562,-518.9215087890625,-339.1477355957031,-499.65966796875,-435.4339904785156,3.4028234663852886e38,3.4028234663852886e38,196.30763,103.616325,116.4529,236.06613,241.03595,70.7642,33.38198,35.86997,3.4028235e38,3.4028235e38,79,44,50,97,98,54.07921,51.51501,52.14601,56.08128,56.218227
43,153433,135862,137629,170198,172919,0.0003055866,9.205872e-5,0.0001186061,0.0005238396,0.00064243947,0.0012395523,0.00023831734,0.00029651655,0.030422026,0.11781716,-604.3710327148438,-742.3487548828125,-713.2099609375,-542.3914794921875,-518.9215087890625,-346.11083984375,-499.65966796875,-435.4339904785156,3.4028234663852886e38,3.4028234663852886e38,191.33781,105.918915,124.24533,237.39163,243.52086,68.27574,30.562725,35.262753,3.4028235e38,3.4028235e38,79,45,53,97,98,54.373363,51.894318,52.386116,56.310825,56.442894
44,157038,139642,141264,174449,177220,0.0003055866,9.205872e-5,0.0001186061,0.0005238395,0.0006232185,0.0010551418,0.00023831734,0.00029651655,0.030422026,0.17113075,-604.3710327148438,-742.3487548828125,-713.2099609375,-542.3915405273438,-522.4146728515625,-339.1477355957031,-492.2063293457031,-457.7667236328125,3.4028234663852886e38,3.4028234663852886e38,193.82272,106.85098,124.33959,237.39163,243.52086,70.7642,33.298264,35.86997,3.4028235e38,3.4028235e38,79,46,53,97,99,54.55646,52.12669,52.715485,56.444725,56.81851
45,161020,143244,145159,178897,181588,0.00029952577,9.205872e-5,0.00011715602,0.00051149476,0.00057078275,0.0010259674,0.00022539348,0.00029651655,0.025557768,0.072770074,-606.6748046875,-742.3487548828125,-714.6246337890625,-545.134033203125,-532.5218505859375,-338.32928466796875,-490.3743591308594,-457.7667236328125,3.4028234663852886e38,3.4028234663852886e38,193.82272,112.70108,128.94476,241.03595,246.00575,79.431625,34.688416,37.346756,3.4028235e38,3.4028235e38,81,47,54,97,99,54.81713,52.541817,53.006927,56.587196,57.040676
46,165162,146316,148406,183176,185712,0.0002879147,9.205872e-5,0.00011715602,0.0005087541,0.00055986765,0.0010308254,0.00022539348,0.0003075943,0.025557768,0.072770074,-611.221435546875,-742.3487548828125,-714.6246337890625,-545.7518920898438,-534.7423095703125,-339.1477355957031,-487.5959777832031,-450.7740173339844,3.4028234663852886e38,3.4028234663852886e38,198.79253,116.4529,136.66986,241.03595,246.00575,84.09489,34.688416,37.346756,3.4028235e38,3.4028235e38,81,48,56,97,99,55.001133,52.797245,53.398632,56.801003,57.159775
47,169052,150081,151794,187291,190096,0.0002879147,9.205872e-5,0.00011715602,0.0004959961,0.0005598318,0.0010704229,0.00021973076,0.0002956099,0.025557768,0.072770074,-611.221435546875,-742.3487548828125,-714.6246337890625,-548.6724853515625,-534.7496337890625,-351.9036865234375,-469.473876953125,-435.4339904785156,3.4028234663852886e38,3.4028234663852886e38,198.79253,112.70108,141.63968,241.03595,243.52086,94.08246,34.688416,39.438606,3.4028235e38,3.4028235e38,81,48,56,97,98,55.315495,52.92052,53.63819,57.063442,57.472927
