gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
75,0.035461362,0.029783625,0.030658351,0.04668791,0.049943227,0.0810592,0.034707326,0.03868738,0.1432211,0.9535754,-178.25992,-240.28937,-229.99896,-80.4827,-56.521393,100.69112,-38.402878,-5.4348755,433.5082,507.63538,80,27,39,97,98
76,0.035349395,0.029490469,0.030274937,0.046557426,0.049943227,0.08175837,0.034707326,0.037355214,0.1432211,0.95361984,-179.38422,-243.80585,-234.47281,-81.47766,-56.521393,103.34946,-46.45278,-11.111002,422.668,491.02905,83,27,39,97,99
77,0.03530067,0.029490469,0.030238625,0.0464888,0.049943227,0.08141734,0.034707326,0.037355214,0.14268778,0.46064833,-179.87457,-243.80585,-234.8995,-82.002045,-56.521393,115.28301,-46.45278,-8.922585,432.0346,496.21994,83,27,42,97,99
78,0.035146974,0.029368177,0.030160187,0.046092734,0.04970786,0.08150109,0.034616295,0.037355214,0.1432211,0.63245255,-181.42572,-245.28308,-235.82285,-85.04373,-58.200714,114.41156,-46.45278,-8.922585,451.2782,522.9742,84,27,44,98,99
79,0.035113975,0.029187439,0.029957805,0.045559086,0.049664665,0.08141734,0.035363324,0.039157465,0.14268778,0.18997231,-181.75967,-247.47763,-238.21637,-89.18359,-58.509796,115.483475,-44.989468,-8.922585,468.9432,530.83356,85,27,48,98,99
80,0.035086684,0.029187273,0.029783603,0.044458605,0.049655277,0.08141734,0.035363324,0.039812833,0.14034861,0.46077517,-182.0361,-247.47964,-240.28964,-97.87613,-58.576965,120.58798,-46.45278,-13.406136,474.01328,529.431,86,27,47,99,100
81,0.035082348,0.029123414,0.029766899,0.044259537,0.04871773,0.082515195,0.0347174,0.039157465,0.14075303,0.21454586,-182.07999,-248.25836,-240.48907,-99.471466,-65.353424,134.29688,-46.45278,-13.884293,474.01328,529.431,85,27,45,99,100
82,0.034802325,0.029122764,0.029686661,0.044087544,0.04871773,0.084596336,0.0347174,0.037331473,0.14035556,0.16570085,-184.92899,-248.26627,-241.44861,-100.85568,-65.353424,127.54746,-38.21366,-8.922585,488.5429,577.0388,84,30,46,99,100
83,0.034802314,0.028985873,0.029686661,0.04388013,0.04871773,0.0852888,0.035123948,0.037331473,0.14206512,0.22897394,-184.92911,-249.94125,-241.44861,-102.53204,-65.353424,132.96278,-38.21366,-0.5094547,510.75262,577.0388,84,33,45,99,100
84,0.03461086,0.028460812,0.029574977,0.04388013,0.04871773,0.08528291,0.034717374,0.03739788,0.14354546,0.22897394,-186.89014,-256.43994,-242.78854,-102.53204,-65.353424,132.96278,-46.45278,-20.598785,515.453,577.0388,84,27,44,99,100
85,0.034442183,0.028057158,0.029574966,0.043785267,0.04844157,0.08528291,0.03350009,0.039670303,0.15204304,0.22897394,-188.62692,-261.51804,-242.78867,-103.30148,-67.37433,132.61142,-46.45278,-8.922585,515.453,572.1969,85,28,45,99,100
86,0.034178212,0.028056514,0.029574966,0.043785267,0.04844157,0.086090095,0.03294108,0.035425566,0.15204304,0.22897394,-191.36206,-261.5262,-242.78867,-103.30148,-67.37433,123.54207,-46.45278,-8.922585,491.99475,554.6073,85,28,47,99,100
87,0.03375334,0.028056514,0.029574966,0.043785267,0.04844157,0.08313515,0.032906085,0.035357345,0.14657226,0.22897394,-195.80899,-261.5262,-242.78867,-103.30148,-67.37433,127.671646,-46.45278,-2.5034409,515.453,590.9002,86,33,50,99,100
88,0.033581343,0.02788107,0.0294858,0.043704733,0.04844157,0.08061214,0.032070313,0.0348883,0.14568777,0.2133674,-197.62518,-263.75623,-243.86209,-103.95596,-67.37433,119.13709,-49.451527,-2.5034409,522.34436,629.2668,84,33,50,98,99
89,0.033550084,0.027838714,0.0294858,0.043704733,0.04844157,0.081620775,0.032906085,0.03535531,0.14845648,0.22889443,-197.9562,-264.29663,-243.86209,-103.95596,-67.37433,122.93474,-46.45278,6.6840324,528.6911,711.78894,88,39,47,98,100
90,0.033550084,0.027838714,0.029448098,0.043704733,0.04844157,0.0887221,0.033109423,0.03598217,0.15397193,0.46658215,-197.9562,-264.29663,-244.31696,-103.95596,-67.37433,132.19427,-46.45278,16.262108,554.6073,703.4851,88,42,47,98,99
91,0.0330686,0.027838714,0.029087737,0.04290293,0.04844156,0.0887221,0.034254454,0.037366506,0.15397193,0.41980633,-203.09506,-264.29663,-248.69409,-110.53848,-67.37436,126.17674,-46.45278,16.853115,554.6073,703.4851,88,42,47,98,99
92,0.03299671,0.027803842,0.029087737,0.042783447,0.044459935,0.0854581,0.033676136,0.037360307,0.15331292,0.41977674,-203.86874,-264.74228,-248.69409,-111.52991,-97.86551,121.69328,-49.71645,7.482807,557.8585,703.4851,87,41,45,98,100
