-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
71,2123306,0.00024975369547060593,0.0003923843547982783,44.43,((((X2 * (pdiv(-87.23179, X1) * 4.4300145e-6)) - ((X2 * ((X2 * 0.00017719378) - 0.0021752724)) - -0.006723875)) * ((X1 * X2) + (((-1.1345446 * -87.23515) + ((-4.9234476 * X1) + 0.0016192471)) + exp(X2)))) + exp(((log(abs(X1) * -0.26678517) - -0.5935169)))
72,2157655,0.0002489167534703147,0.00040268825617499545,44.29,((((X2 * (pdiv(-87.23179, X1) * 4.008226e-6)) - ((X2 * ((X2 * 0.0001709036) - 0.0021012328)) - -0.0065057524)) * ((X1 * X2) + (((-1.1340458 * -87.235146) + ((-4.9334087 * X1) + 0.0016135292)) + exp(X2)))) + exp(((log(abs(X1) * -0.26595363) - -0.5853926)))
73,2191903,0.00024867615922978114,0.000398781982492079,43.634,((((X2 * (pdiv(-87.23179, X1) * 4.2567676e-6)) - ((X2 * ((X2 * 0.0001741004) - 0.0021371704)) - -0.006604239)) * ((X1 * X2) + (((-1.1331809 * -87.23514) + ((-4.9386826 * X1) + -0.26385728)) + exp(X2)))) + exp(((log(abs(X1) * -0.2678247) - -0.59257454)))
74,2227397,0.0002485941683280609,0.00040239257433488516,43.822,((((X2 * (pdiv(-87.23179, X1) * 4.1400303e-6)) - ((X2 * ((X2 * 0.00017184288) - 0.0021111052)) - -0.006529098)) * ((X1 * X2) + (((-1.1329833 * -87.23513) + ((-4.9422145 * X1) + 0.0016013491)) + exp(X2)))) + exp(((log(abs(X1) * -0.26755798) - -0.5903845)))
75,2263430,0.00024856361936092944,0.00040138164347612224,44.012,((((X2 * (pdiv(-87.23179, X1) * 4.229491e-6)) - ((X2 * ((X2 * 0.00017292636) - 0.0021232027)) - -0.0065619466)) * ((X1 * X2) + (((-1.1328242 * -87.23513) + ((-4.944192 * X1) + 0.0015995248)) + exp(X2)))) + exp(((log(abs(X1) * -0.26824072) - -0.5930305)))
76,2296920,0.0002483340175548243,0.0003992109626118178,43.37,((((X2 * (pdiv(-87.23179, X1) * 4.193734e-6)) - ((X2 * ((X2 * 0.00017365863) - 0.0021303701)) - -0.006578032)) * ((X1 * X2) + (((-1.1330823 * -87.23514) + ((-4.9439077 * X1) + (log(abs(X1) * -0.26797825))) + exp(X2)))) + exp(((log(abs(X1) * -0.2685315) - -0.59277827)))
77,2330840,0.00024832955847154347,0.0004000926187772263,43.192,((((X2 * (pdiv(-87.23179, X1) * 4.1767853e-6)) - ((X2 * ((X2 * 0.00017321666) - 0.0021251703)) - -0.0065625967)) * ((X1 * X2) + (((-1.1338907 * -87.235146) + ((-4.945328 * X1) + (log(abs(X1) * -0.2682249))) + exp(X2)))) + exp(((log(abs(X1) * -0.2685859) - -0.5926476)))
78,2364218,0.0002483272254386701,0.00039951039721483443,43.45,((((X2 * (pdiv(-87.23179, X1) * 4.2029296e-6)) - ((X2 * ((X2 * 0.00017356148) - 0.0021291901)) - -0.0065742554)) * ((X1 * X2) + (((-1.1341687 * -87.235146) + ((-4.9452085 * X1) + (log(abs(X1) * -0.26830217))) + exp(X2)))) + exp(((log(abs(X1) * -0.26868427) - -0.5932471)))
79,2396252,0.0002478305106372305,0.0003928127311886843,43.016,((((X2 * (pdiv(-87.23179, X1) * 4.1047515e-6)) - ((X2 * ((X2 * 0.0001761322) - 0.0021545016)) - -0.0066315364)) * ((X1 * X2) + (((-1.1342007 * -87.235146) + ((-4.9451184 * X1) + (log(abs(X1) * -1.1258851))) + exp(X2)))) + exp(((log(abs(X1) * -0.2698085) - -0.5930306)))
80,2429050,0.0002477790321575571,0.00039030063117473027,43.06,((((X2 * (pdiv(-87.23179, X1) * 4.2112074e-6)) - ((X2 * ((X2 * 0.00017759742) - 0.0021718016)) - -0.0066826325)) * ((X1 * X2) + (((-1.13527 * -87.23516) + ((-4.942741 * X1) + (log(abs(X1) * -1.1259269))) + exp(X2)))) + exp(((log(abs(X1) * -0.27004686) - -0.5951599)))
81,2463432,0.0002477529845909932,0.0003918518422866515,43.654,((((X2 * (pdiv(-87.23179, X1) * 4.1311146e-6)) - ((X2 * ((X2 * 0.00017636646) - 0.00215801)) - -0.006644796)) * ((X1 * X2) + (((-1.1373187 * -87.23518) + ((-4.941617 * X1) + (log(abs(X1) * -1.1260302))) + exp(X2)))) + exp(((log(abs(X1) * -0.26947162) - -0.59291834)))
82,2495258,0.0002477380877099376,0.00039089100969285994,42.958,((((X2 * (pdiv(-87.23179, X1) * 4.1894773e-6)) - ((X2 * ((X2 * 0.00017711127) - 0.002166709)) - -0.006670091)) * ((X1 * X2) + (((-1.138254 * -87.2352) + ((-4.940673 * X1) + (log(abs(X1) * -1.1260865))) + exp(X2)))) + exp(((log(abs(X1) * -0.26966333) - -0.59419906)))
83,2527670,0.00024772480354528413,0.0003920850901704537,42.874,((((X2 * (pdiv(-87.23179, X1) * 4.136507e-6)) - ((X2 * ((X2 * 0.00017610996) - 0.002155513)) - -0.0066393316)) * ((X1 * X2) + (((-1.1403935 * -87.23523) + ((-4.940648 * X1) + (log(abs(X1) * -1.1262295))) + exp(X2)))) + exp(((log(abs(X1) * -0.26931137) - -0.592809)))
84,2561053,0.0002477138300913369,0.0003910540865282055,43.378,((((X2 * (pdiv(-87.23179, X1) * 4.192278e-6)) - ((X2 * ((X2 * 0.00017677344) - 0.0021633352)) - -0.0066622742)) * ((X1 * X2) + (((-1.1412522 * -87.23524) + ((-4.940149 * X1) + (log(abs(X1) * -1.1262938))) + exp(X2)))) + exp(((log(abs(X1) * -0.26951137) - -0.59408015)))
85,2596104,0.0002477040048612874,0.00039245689553296534,43.824,((((X2 * (pdiv(-87.23179, X1) * 4.146373e-6)) - ((X2 * ((X2 * 0.00017588148) - 0.002153161)) - -0.006633515)) * ((X1 * X2) + (((-1.1430839 * -87.23526) + ((-4.940678 * X1) + (log(abs(X1) * -1.1264386))) + exp(X2)))) + exp(((log(abs(X1) * -0.26929384) - -0.5930202)))
86,2630958,0.0002476947706987526,0.00039152569383125367,43.69,((((X2 * (pdiv(-87.23179, X1) * 4.198018e-6)) - ((X2 * ((X2 * 0.00017649245) - 0.0021603329)) - -0.0066544455)) * ((X1 * X2) + (((-1.1438984 * -87.23527) + ((-4.940311 * X1) + (log(abs(X1) * -1.126507))) + exp(X2)))) + exp(((log(abs(X1) * -0.2694854) - -0.5942012)))
87,2665812,0.00024453835225820783,0.00037848236134353574,43.548,((((X2 * (pdiv(-87.23179, X1) * 4.2121337e-6)) - ((X2 * ((X2 * ((X2 * -3.3826083e-5) - -0.00069600187)) - 0.0047946447)) - -0.011058157)) * ((X1 * X2) + (((-1.1439992 * -87.23527) + ((-4.940231 * X1) + (log(abs(X1) * -1.1265064))) + exp(X2)))) + exp(((log(abs(X1) * -0.26972097) - -0.59403706)))
88,2699629,0.0002444972749757366,0.0003757780869738553,43.484,((((X2 * (pdiv(-87.23176, X1) * 4.22872e-6)) - ((X2 * ((X2 * ((X2 * -3.3846492e-5) - -0.00069648237)) - 0.0047990484)) - -0.011072005)) * ((X1 * X2) + (((-1.1433504 * -87.23526) + ((-4.9406075 * X1) + (log(abs(X1) * -1.1265293))) + exp(X2)))) + exp(((log(abs(X1) * -0.2695718) - -0.5940787)))
89,2733433,0.00024448974763225024,0.0003755426503040427,43.918,((((X2 * (pdiv(-87.23176, X1) * 4.2361667e-6)) - ((X2 * ((X2 * ((X2 * -3.5222434e-5) - -0.0007178465)) - 0.0049085873)) - -0.011256986)) * ((X1 * X2) + (((-1.1432123 * -87.23526) + ((-4.940479 * X1) + (log(abs(X1) * -1.1265429))) + exp(X2)))) + exp(((log(abs(X1) * -0.26966769) - -0.594317)))
90,2768281,0.00024447888205943115,0.00037537327197773767,42.978,((((X2 * (pdiv(-87.23176, X1) * 4.251709e-6)) - ((X2 * ((X2 * ((X2 * -3.3563094e-5) - -0.00069248234)) - 0.004781031)) - -0.01104666)) * ((X1 * X2) + (((-1.1430321 * -87.23526) + ((-4.9403377 * X1) + (log(abs(X1) * -1.12656))) + exp(X2)))) + exp(((log(abs(X1) * -0.26966995) - -0.59460825)))
91,2803786,0.00024447054097982473,0.00037461294947159864,44.226,((((X2 * (pdiv(-87.23176, X1) * 4.259584e-6)) - ((X2 * ((X2 * ((X2 * -3.5378154e-5) - -0.0007206045)) - 0.0049251346)) - -0.011290513)) * ((X1 * X2) + (((-1.1428643 * -87.23526) + ((-4.9402156 * X1) + (log(abs(X1) * -1.1265769))) + exp(X2)))) + exp(((log(abs(X1) * -0.26974076) - -0.5948209)))
92,2839063,0.00024446392021842196,0.00037470679799806193,44.664,((((X2 * (pdiv(-87.23176, X1) * 4.2694064e-6)) - ((X2 * ((X2 * ((X2 * -3.401995e-5) - -0.00069981563)) - 0.0048202444)) - -0.011116505)) * ((X1 * X2) + (((-1.1427215 * -87.23526) + ((-4.9401255 * X1) + (log(abs(X1) * -1.1265907))) + exp(X2)))) + exp(((log(abs(X1) * -0.26974064) - -0.5949927)))
93,2876145,0.000244458488394588,0.0003741904767923026,44.12,((((X2 * (pdiv(-87.23176, X1) * 4.275872e-6)) - ((X2 * ((X2 * ((X2 * -3.5381756e-5) - -0.00072093884)) - 0.0049285325)) - -0.011299663)) * ((X1 * X2) + (((-1.1425499 * -87.23526) + ((-4.940023 * X1) + (log(abs(X1) * -1.1266083))) + exp(X2)))) + exp(((log(abs(X1) * -0.26979777) - -0.595155)))
94,2912155,0.0002444537981653325,0.0003742498032114022,43.372,((((X2 * (pdiv(-87.23176, X1) * 4.282811e-6)) - ((X2 * ((X2 * ((X2 * -3.4213714e-5) - -0.00070303486)) - 0.004838124)) - -0.011149677)) * ((X1 * X2) + (((-1.1424077 * -87.23526) + ((-4.939948 * X1) + (log(abs(X1) * -1.1266223))) + exp(X2)))) + exp(((log(abs(X1) * -0.26979482) - -0.59528524)))
95,2949486,0.00024444967939395146,0.0003738156519729471,43.504,((((X2 * (pdiv(-87.23176, X1) * 4.2874517e-6)) - ((X2 * ((X2 * ((X2 * -3.5403056e-5) - -0.00072147185)) - 0.004932567)) - -0.011309256)) * ((X1 * X2) + (((-1.1422355 * -87.23526) + ((-4.9398627 * X1) + (log(abs(X1) * -1.1266401))) + exp(X2)))) + exp(((log(abs(X1) * -0.26984096) - -0.5954039)))
96,2989431,0.0002444460125623638,0.00037379004357210424,43.858,((((X2 * (pdiv(-87.23176, X1) * 4.293239e-6)) - ((X2 * ((X2 * ((X2 * -3.4350185e-5) - -0.00070535234)) - 0.0048512905)) - -0.011174687)) * ((X1 * X2) + (((-1.1420925 * -87.23526) + ((-4.9397993 * X1) + (log(abs(X1) * -1.1266544))) + exp(X2)))) + exp(((log(abs(X1) * -0.26983175) - -0.59550375)))
97,3028639,0.00024444303179707285,0.00037322816503993547,43.528,((((X2 * (pdiv(-87.23176, X1) * 4.2974807e-6)) - ((X2 * ((X2 * ((X2 * -3.5423625e-5) - -0.0007219526)) - 0.0049361847)) - -0.011318122)) * ((X1 * X2) + (((-1.1419588 * -87.23526) + ((-4.939745 * X1) + (log(abs(X1) * -1.1266683))) + exp(X2)))) + exp(((log(abs(X1) * -0.26984745) - -0.5955718)))
98,3067636,0.00024444025736878493,0.0003735661904589982,43.392,((((X2 * (pdiv(-87.23176, X1) * 4.29995e-6)) - ((X2 * ((X2 * ((X2 * -3.4458444e-5) - -0.00070713076)) - 0.0048610554)) - -0.0111925965)) * ((X1 * X2) + (((-1.1418144 * -87.23526) + ((-4.9396877 * X1) + (log(abs(X1) * -1.126683))) + exp(X2)))) + exp(((log(abs(X1) * -0.26985964) - -0.59564614)))
99,3107090,0.00024443763933464113,0.00037301269279871476,43.456,((((X2 * (pdiv(-87.23176, X1) * 4.3032783e-6)) - ((X2 * ((X2 * ((X2 * -3.5462414e-5) - -0.0007226725)) - 0.004940619)) - -0.011327165)) * ((X1 * X2) + (((-1.1416801 * -87.23526) + ((-4.93964 * X1) + (log(abs(X1) * -1.1266971))) + exp(X2)))) + exp(((log(abs(X1) * -0.269872) - -0.59569603)))
100,3146156,0.00024443514259012155,0.0003733434831478795,43.132,((((X2 * (pdiv(-87.23176, X1) * 4.305035e-6)) - ((X2 * ((X2 * ((X2 * -3.4543315e-5) - -0.00070855144)) - 0.004868996)) - -0.011207397)) * ((X1 * X2) + (((-1.1415355 * -87.23526) + ((-4.9395895 * X1) + (log(abs(X1) * -1.1267118))) + exp(X2)))) + exp(((log(abs(X1) * -0.2698812) - -0.5957531)))
