75,1147060,0.0004312969964399657,0.0006177952956241693,39.51,((X1 - X2) * (abs(-0.6793987) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((exp((-2.104714 * 6.3988485)) + (pdiv((-4.4671626 * X1), X2) + exp(3.466181))) + X1), pdiv((X2 * X1), exp(exp((3.7189374 - X2)))))) * X1), 5.0699973) + 1.766781)) + X1), -7.9339514))))
76,1165189,0.00042948965477552115,0.0006162761675233379,39.754,((X1 - X2) * (abs(-0.6793361) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((exp((-2.104714 * 6.3988485)) + (pdiv((-4.4702086 * X1), X2) + exp(3.4743779))) + X1), pdiv((X2 * X1), exp(exp((3.6106393 - X2)))))) * X1), 5.147708) + 2.015571)) + X1), -8.00628))))
77,1183273,0.0004278074912225142,0.0006153430367153739,38.942,((X1 - X2) * (abs(-0.67687774) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((exp((-2.104714 * 6.3988485)) + (pdiv((-4.467435 * X1), X2) + exp(3.4667215))) + X1), pdiv((X2 * X1), exp(exp((3.7248652 - X2)))))) * X1), 5.065554) + 2.0892198)) + X1), -8.146937))))
78,1201649,0.0004264172842105455,0.0006158193394834701,39.702,((X1 - X2) * (abs(-0.6768263) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((exp((-2.104714 * 6.3988485)) + (pdiv((-4.470215 * X1), X2) + exp(3.4744158))) + X1), pdiv((X2 * X1), exp(exp((3.6317227 - X2)))))) * X1), 5.1344924) + 2.313038)) + X1), -8.211339))))
79,1219747,0.0004082543871797971,0.021092614457566296,39.452,((X1 - X2) * (abs(-0.67487556) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584381 + (pdiv((-4.3985887 * X1), X2) + exp(3.3513005))) + X1), pdiv((X2 * X1), exp(exp((3.8733518 - X2)))))) * X1), 4.942984) + 2.2651873)) + X1), -7.889616))))
80,1237231,0.00040781309709449003,0.053333908584734524,38.474,((X1 - X2) * (abs(-0.67540586) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.5844803 + (pdiv((-4.3981466 * X1), X2) + exp(3.3484535))) + X1), pdiv((X2 * X1), exp(exp((3.834352 - X2)))))) * X1), 4.974051) + 2.3089924)) + X1), -7.867383))))
81,1255731,0.00040650362002774676,0.21141870228858592,39.128,((X1 - X2) * (abs(-0.66866505) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.5843515 + (pdiv((-4.3994107 * X1), X2) + exp(3.3520052))) + X1), pdiv((X2 * X1), exp(exp((3.865482 - X2)))))) * X1), 4.9509497) + 3.1087725)) + X1), -8.421655))))
82,1274354,0.0004064893454149672,0.7712547793527035,39.338,((X1 - X2) * (abs(-0.66862196) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.5843654 + (pdiv((-4.3991947 * X1), X2) + exp(3.35161))) + X1), pdiv((X2 * X1), exp(exp((3.8655639 - X2)))))) * X1), 4.9496703) + 3.1070342)) + X1), -8.424591))))
83,1293922,0.0004064890418263262,0.6621192558683299,40.292,((X1 - X2) * (abs(-0.6685174) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584364 + (pdiv((-4.3992095 * X1), X2) + exp(3.3516536))) + X1), pdiv((X2 * X1), exp(exp((3.866004 - X2)))))) * X1), 4.949319) + 3.119693)) + X1), -8.433379))))
84,1313053,0.00040648904182638714,0.6621192558683299,39.592,((X1 - X2) * (abs(-0.6685174) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584364 + (pdiv((-4.3992095 * X1), X2) + exp(3.3516536))) + X1), pdiv((X2 * X1), exp(exp((3.866004 - X2)))))) * X1), 4.949319) + 3.119693)) + X1), -8.433379))))
85,1330983,0.00040648904182638714,0.6621192558683299,38.692,((X1 - X2) * (abs(-0.6685174) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584364 + (pdiv((-4.3992095 * X1), X2) + exp(3.3516536))) + X1), pdiv((X2 * X1), exp(exp((3.866004 - X2)))))) * X1), 4.949319) + 3.119693)) + X1), -8.433379))))
86,1349197,0.00040648904182638714,0.6621192558683299,39.746,((X1 - X2) * (abs(-0.6685174) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584364 + (pdiv((-4.3992095 * X1), X2) + exp(3.3516536))) + X1), pdiv((X2 * X1), exp(exp((3.866004 - X2)))))) * X1), 4.949319) + 3.119693)) + X1), -8.433379))))
87,1367195,0.00040648904182638714,0.6621192558683299,39.292,((X1 - X2) * (abs(-0.6685174) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584364 + (pdiv((-4.3992095 * X1), X2) + exp(3.3516536))) + X1), pdiv((X2 * X1), exp(exp((3.866004 - X2)))))) * X1), 4.949319) + 3.119693)) + X1), -8.433379))))
88,1385850,0.00040648904182638714,0.6621192558683299,38.732,((X1 - X2) * (abs(-0.6685174) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584364 + (pdiv((-4.3992095 * X1), X2) + exp(3.3516536))) + X1), pdiv((X2 * X1), exp(exp((3.866004 - X2)))))) * X1), 4.949319) + 3.119693)) + X1), -8.433379))))
89,1404567,0.00040648904182638714,0.6621192558683299,37.754,((X1 - X2) * (abs(-0.6685174) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584364 + (pdiv((-4.3992095 * X1), X2) + exp(3.3516536))) + X1), pdiv((X2 * X1), exp(exp((3.866004 - X2)))))) * X1), 4.949319) + 3.119693)) + X1), -8.433379))))
90,1422550,0.00040648904182638714,0.6621192558683299,39.194,((X1 - X2) * (abs(-0.6685174) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584364 + (pdiv((-4.3992095 * X1), X2) + exp(3.3516536))) + X1), pdiv((X2 * X1), exp(exp((3.866004 - X2)))))) * X1), 4.949319) + 3.119693)) + X1), -8.433379))))
91,1440886,0.00040648904182638714,0.6621192558683299,38.858,((X1 - X2) * (abs(-0.6685174) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584364 + (pdiv((-4.3992095 * X1), X2) + exp(3.3516536))) + X1), pdiv((X2 * X1), exp(exp((3.866004 - X2)))))) * X1), 4.949319) + 3.119693)) + X1), -8.433379))))
92,1459820,0.00040648904182638714,0.6621192558683299,40.032,((X1 - X2) * (abs(-0.6685174) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-4.584364 + (pdiv((-4.3992095 * X1), X2) + exp(3.3516536))) + X1), pdiv((X2 * X1), exp(exp((3.866004 - X2)))))) * X1), 4.949319) + 3.119693)) + X1), -8.433379))))
93,1478170,0.00040526130843945764,0.05408059248681885,38.804,((X1 - exp(exp((4.526293 - X2)))) * (abs(-0.6684859) ^ log(abs(pdiv(((pdiv((X2 - 5.5768623), X1) + (pdiv((log(abs(pdiv(((-4.5839863 + (pdiv((-4.3992057 * X1), X2) + exp(3.3523304))) + X1), pdiv((X2 * X1), exp(exp((3.8846529 - X2)))))) * X1), 4.9323997) + 3.1245484)) + X1), -8.428413))))
94,1496633,0.00040524726790213967,0.0525070046322434,39.558,((X1 - exp(exp((4.526293 - X2)))) * (abs(-0.6679501) ^ log(abs(pdiv(((pdiv((X2 - 5.5717793), X1) + (pdiv((log(abs(pdiv(((-4.5839763 + (pdiv((-4.3993235 * X1), X2) + exp(3.3526075))) + X1), pdiv((X2 * X1), exp(exp((3.8843882 - X2)))))) * X1), 4.933315) + 3.200012)) + X1), -8.476508))))
95,1514759,0.0004051493157416396,0.10187364084746073,39.582,((X1 - exp(exp((4.526293 - X2)))) * (abs(-0.6636635) ^ log(abs(pdiv(((pdiv((X2 - 14.622221), X1) + (pdiv((log(abs(pdiv(((-4.5839 + (pdiv((-4.40019 * X1), X2) + exp(3.354773))) + X1), pdiv((X2 * X1), exp(exp((3.8956592 - X2)))))) * X1), 4.920214) + 4.469871)) + X1), -8.925426))))
96,1533611,0.0004051491426493389,0.10154148334804958,39.106,((X1 - exp(exp((4.526293 - X2)))) * (abs(-0.6636102) ^ log(abs(pdiv(((pdiv((X2 - 14.622315), X1) + (pdiv((log(abs(pdiv(((-4.5838985 + (pdiv((-4.400206 * X1), X2) + exp(3.3548152))) + X1), pdiv((X2 * X1), exp(exp((3.8960948 - X2)))))) * X1), 4.9201093) + 4.4761133)) + X1), -8.930248))))
97,1551509,0.0004051491423292171,0.10073565658358487,39.038,((X1 - exp(exp((4.526293 - X2)))) * (abs(-0.6636102) ^ log(abs(pdiv(((pdiv((X2 - 14.622315), X1) + (pdiv((log(abs(pdiv(((-4.5838985 + (pdiv((-4.4002075 * X1), X2) + exp(3.3548205))) + X1), pdiv((X2 * X1), exp(exp((3.8960936 - X2)))))) * X1), 4.920108) + 4.4761133)) + X1), -8.930248))))
98,1569138,0.00040514912725754857,0.10085745762458827,38.638,((X1 - (5.5517807 - X1)) * (abs(-0.6636068) ^ log(abs(pdiv(((pdiv((X2 - 14.630136), X1) + (pdiv((log(abs(pdiv(((-4.583898 + (pdiv((-4.400208 * X1), X2) + exp(3.3548217))) + X1), pdiv((X2 * X1), exp(exp((3.8961055 - X2)))))) * X1), 4.920092) + 4.477169)) + X1), -8.930609))))
99,1586794,0.00040486678934707,0.02413939559164271,40.06,((X2 - exp(exp((X2 - X2)))) * (abs(-0.6668587) ^ log(abs(pdiv(((pdiv((X2 - 4.777876), 4.9157963) + (pdiv((log(abs(pdiv(((-4.5835857 + (pdiv((-4.3994484 * X1), X2) + exp(3.3544922))) + X1), pdiv((X2 * X1), exp(exp((3.9347286 - X2)))))) * X1), 4.8922386) + 3.1554253)) + X1), -8.545163))))
100,1605044,0.00040482723658602206,0.021683101309848105,39.604,((X2 - exp(exp((X2 - X2)))) * (abs(-0.6679282) ^ log(abs(pdiv(((pdiv((X2 - 4.8055696), 4.540035) + (pdiv((log(abs(pdiv(((-4.5835924 + (pdiv((-4.3993034 * X1), X2) + exp(3.3542986))) + X1), pdiv((X2 * X1), exp(exp((3.9357665 - X2)))))) * X1), 4.891378) + 3.0193067)) + X1), -8.453112))))
