gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
52,588.3188,335.98065,375.65225,1175.3047,1333.0021,1506.6257,693.75287,819.4957,4518.386,6610.495,2348.1475,2281.9775,2292.3806,2502.071,2543.4233,2617.772,2524.165,2532.136,2893.3862,3109.4949,83,44,51,98,99,72.304,66.312,67.37,77.332,78.528
53,568.0665,335.98065,373.96753,1147.4653,1333.0021,1584.7435,735.73724,844.29236,4535.7524,8465.454,2342.837,2281.9775,2291.939,2494.7708,2543.4233,2614.6702,2507.3284,2531.4277,2896.9827,3026.2556,83,44,51,98,100,72.578,66.34,67.416,76.948,77.71
54,548.0673,335.98065,373.96753,1129.5299,1295.9232,1419.8911,733.94525,862.9373,3784.462,6103.511,2337.5925,2281.9775,2291.939,2490.0676,2533.7004,2615.0044,2507.3284,2526.1736,2865.251,2954.079,85,44,51,98,100,72.344,67.186,67.81,76.832,77.464
55,545.3285,334.33124,367.0116,1102.1193,1282.7954,1435.0648,732.9016,851.38983,3784.462,6103.511,2336.8743,2281.5452,2290.1147,2482.88,2530.2578,2610.2642,2508.8462,2526.6453,2853.0405,2954.079,85,45,51,98,99,72.692,66.264,68.128,76.838,77.646
56,529.1251,334.0955,366.4473,1074.2452,1282.7954,1527.4355,732.28796,868.8379,3590.3843,5895.978,2332.6252,2281.4834,2289.9668,2475.5706,2530.2578,2615.9165,2503.977,2526.9033,2796.7986,2951.2163,86,45,53,98,100,72.932,66.444,68.338,76.67,77.186
57,518.0824,327.64743,366.4473,1074.2452,1172.6345,1508.9677,716.1863,868.8379,3308.7778,4180.9146,2329.7295,2279.7925,2289.9668,2475.5706,2501.3708,2608.4465,2507.259,2525.9102,2796.7986,2951.2163,86,45,53,98,100,73.128,66.774,67.914,76.988,78.268
58,516.947,327.64743,366.4447,1064.6266,1169.9965,1522.258,716.1863,851.10254,3076.5422,3577.1382,2329.432,2279.7925,2289.966,2473.048,2500.679,2609.7158,2505.865,2530.1516,2846.02,2951.2163,87,47,54,98,99,73.634,67.286,67.7,77.574,78.564
59,510.92883,327.64743,366.4447,1014.01,1167.5533,1504.7385,716.1863,843.03644,3256.4395,3784.462,2327.8538,2279.7925,2289.966,2459.7751,2500.0383,2616.3403,2505.7266,2531.4277,2829.0242,2951.2163,87,51,58,99,100,73.516,67.232,68.362,77.972,78.734
60,507.60355,326.8686,366.4447,956.5676,1165.1107,1539.7609,731.6833,865.98157,3256.4395,3577.1382,2326.9817,2279.5881,2289.966,2444.7122,2499.398,2613.5776,2503.977,2530.1516,2847.9438,2943.3994,86,52,54,99,100,73.798,67.628,68.736,77.918,79.572
61,507.60355,326.84445,346.90292,934.56573,1162.8864,1483.9277,737.3289,881.6757,3161.5188,3577.1382,2326.9817,2279.5818,2284.8418,2438.9426,2498.8145,2613.5776,2503.977,2527.5518,2844.9607,2927.1763,87,53,58,98,100,73.412,66.942,68.376,77.98,78.996
