NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
 RARMNRLikelihood{Float32} Float32[0.1, -0.5004616, 0.7451956]
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,nll,func_compl,param_compl,avg_len,avg_fitness,size,expression
37,2607658,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.386667,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
38,2705573,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.776667,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
39,2804326,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.32,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
40,2903522,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.856667,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
41,2998098,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.78,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
42,3092946,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,26.103333,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
43,3200099,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.323334,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
44,3310631,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,24.563334,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
45,3406847,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,24.806667,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
46,3495632,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,23.706667,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
47,3587125,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,24.616667,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
48,3670254,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,24.0,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
49,3756175,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,23.286667,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
50,3853529,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,22.55,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
51,3945183,-1021.6731,-918.2639,-1021.6731,68.621574,34.787594,23.253334,Inf,33,"((((X1 + ((X1 / X1) ^ (abs(((-9.780685 + 6111.91) / -2.2780132)) ^ 2.2607813))) / -229.82042) * 18.218771) - (((abs(((-0.018179493 / -4.8578873) - ((abs(0.6287403) ^ X1) * X1))) ^ 0.6454236) + X1) / 1.0778273)) RARMNRLikelihood{Float32} Float32[0.07510538, -0.50345933, 0.73950756]"
52,4043731,-1021.6765,-920.4974,-1021.6765,68.621574,32.55755,23.73,Inf,33,"((((X1 + ((X1 / X1) ^ (abs(((-9.780685 + 6111.91) / -2.2780132)) ^ 2.2607813))) / -229.82042) * 18.218771) - (((abs(((-0.018189246 / -4.8578873) - ((abs(0.6287326) ^ X1) * X1))) ^ 0.6454145) + X1) / 1.0778303)) RARMNRLikelihood{Float32} Float32[0.07510586, -0.50345933, 0.7395081]"
53,4143545,-1021.6819,-919.61255,-1021.6819,68.621574,33.447723,23.856667,Inf,33,"((((X1 + ((X1 / X1) ^ (abs(((-9.780685 + 6111.91) / -2.2780132)) ^ 2.2607813))) / -229.82042) * 18.218771) - (((abs(((-0.018215531 / -4.8578873) - ((abs(0.628707) ^ X1) * X1))) ^ 0.6453894) + X1) / 1.0778354)) RARMNRLikelihood{Float32} Float32[0.07510695, -0.50345933, 0.73950905]"
