gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
62,0.0013708852,0.0013079256,0.0013162562,0.0015567192,0.0015567192,0.0013937678,0.0013454731,0.0013562931,0.0016085119,0.0016085119,-373.90256,-379.3489,-378.62823,-357.82697,-357.82697,-314.50916,-339.49326,-329.54703,-294.09766,-294.09766,20,17,17,31,31
63,0.0013709359,0.0013079256,0.0013162557,0.0015567192,0.0015567192,0.0013915277,0.0013454731,0.0013562931,0.0016085119,0.0016085119,-373.8982,-379.3489,-378.6283,-357.82697,-357.82697,-314.50916,-339.49326,-330.44064,-294.09766,-294.09766,20,17,17,31,31
64,0.0013707806,0.0013079256,0.0013162557,0.0015567192,0.0015567192,0.0013954944,0.0013454731,0.0013562931,0.0016085119,0.0016085119,-373.91162,-379.3489,-378.6283,-357.82697,-357.82697,-317.18405,-339.49326,-330.44064,-294.09766,-294.09766,20,17,17,31,31
65,0.0013727837,0.0013079256,0.0013162557,0.0015567192,0.0015567192,0.0013956947,0.0013454731,0.001356294,0.0016085119,0.0016085119,-373.73834,-379.3489,-378.6283,-357.82697,-357.82697,-317.18405,-339.49326,-330.44064,-294.09766,-294.09766,20,15,16,31,31
66,0.0013727838,0.0013079256,0.0013162557,0.0015567192,0.0015567192,0.0013956942,0.0013454731,0.001356294,0.0016085119,0.0016085119,-373.73834,-379.3489,-378.6283,-357.82697,-357.82697,-317.22635,-339.49326,-330.44064,-294.09766,-294.09766,20,15,16,35,35
67,0.0013727838,0.0013079256,0.0013162557,0.0015567192,0.0015567192,0.0013956942,0.0013454731,0.001356294,0.0016085119,0.0016085119,-373.73834,-379.3489,-378.6283,-357.82697,-357.82697,-317.22635,-339.49326,-330.44064,-294.09766,-294.09766,20,15,16,35,35
68,0.0013727838,0.0013079256,0.0013162557,0.0015567192,0.0015567192,0.0013956942,0.0013454731,0.001356294,0.0016085119,0.0016085119,-373.73834,-379.3489,-378.6283,-357.82697,-357.82697,-317.22635,-339.49326,-330.44064,-294.09766,-294.09766,20,15,16,35,35
69,0.0013727838,0.0013079256,0.0013162557,0.0015567192,0.0015567192,0.0013777569,0.0013454731,0.001356294,0.0016085119,0.0016085119,-373.73834,-379.3489,-378.6283,-357.82697,-357.82697,-317.22635,-339.49567,-330.44064,-294.09766,-294.09766,20,15,16,31,31
70,0.0013727838,0.0013079256,0.0013162559,0.0015567192,0.0015567192,0.0013777569,0.0013454731,0.001356294,0.0016085119,0.0016085119,-373.73834,-379.3489,-378.6283,-357.82697,-357.82697,-317.22635,-339.49567,-330.44073,-294.09766,-294.09766,20,15,16,31,31
71,0.0013727838,0.0013079256,0.0013162559,0.0015567192,0.0015567192,0.0013777569,0.0013454731,0.001356294,0.0016085119,0.0016085119,-373.73834,-379.3489,-378.6283,-357.82697,-357.82697,-317.22635,-339.53235,-330.44073,-294.09766,-294.09766,20,15,16,31,31
