gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
174,0.027729059,0.023184182,0.02385783,0.032597397,0.03496575,0.051248804,0.029549412,0.032012876,0.35288897,1.0520647,-265.63956,-324.98587,-316.18945,-202.06952,-171.14389,79.38499,-49.49868,-9.171501,423.7152,626.31824,254.35272,175.65923,189.43373,282.66614,295.31866,87.652,24.382242,29.548672,453.1815,653.2667,90,64,72,99,99,75.45,70.058,71.056,79.382,80.11
175,0.027729059,0.023085622,0.02385783,0.032597397,0.03496575,0.051248323,0.029549412,0.032012876,0.35288897,1.0520647,-265.63956,-326.27286,-316.18945,-202.06952,-171.14389,81.65939,-28.49871,-5.3690147,422.8036,626.31824,255.07816,177.44568,195.29024,288.55502,296.57748,89.27226,25.73801,31.702236,453.07657,653.2667,91,64,74,99,100,75.51,69.552,71.456,79.446,80.344
176,0.027729059,0.023038791,0.02385783,0.032597397,0.03496575,0.051248245,0.029549412,0.032012876,0.34548688,1.2106917,-265.63956,-326.88434,-316.18945,-202.06952,-171.14389,81.65939,-28.49871,2.9339447,422.8036,626.31824,255.07816,179.54645,203.20741,289.03717,296.57748,87.652,25.797367,32.44926,453.07657,653.2667,91,68,74,99,100,75.812,70.178,71.592,79.592,81.232
177,0.027708765,0.022997208,0.02385783,0.03225169,0.03430096,0.051350247,0.029549412,0.032012876,0.45524946,1.2106917,-265.90454,-327.42734,-316.18945,-206.58371,-179.82465,75.72534,-54.161003,-7.202099,422.8036,626.31824,254.55672,173.31522,189.43373,289.03717,299.83112,90.063385,27.197485,32.37694,453.07657,636.1719,91,64,72,99,100,75.61,69.648,71.556,79.272,81.454
178,0.027695246,0.022404572,0.02385783,0.03225169,0.03430096,0.053153582,0.029549412,0.032012876,0.45524946,1.2106917,-266.08105,-335.1659,-316.18945,-206.58371,-179.82465,78.53754,-54.161003,-7.202099,430.55423,619.8059,257.82242,173.31522,189.43373,289.03717,299.83112,88.409065,27.197485,32.37694,471.43634,628.03625,91,64,72,99,100,75.496,70.768,71.76,79.216,80.864
179,0.027694767,0.022401601,0.02385777,0.03225169,0.03430096,0.05440806,0.029549412,0.032012876,0.5302061,1.2106917,-266.08734,-335.20468,-316.19025,-206.58371,-179.82465,78.53754,-54.161003,-7.202099,429.27917,599.2304,254.35272,177.44568,197.9293,289.22964,299.83112,88.409065,27.197485,31.852306,453.07657,647.32367,90,64,74,99,100,75.46,70.68,71.684,79.582,80.626
180,0.027694767,0.02239647,0.02385777,0.032175645,0.03430096,0.05440806,0.029549534,0.032012876,0.5302061,1.2857938,-266.08734,-335.2717,-316.19025,-207.57666,-179.82465,84.28735,-52.76725,-8.2714615,411.32,599.2304,254.35272,177.44568,197.9293,289.03717,299.83112,88.409065,27.197485,31.852306,439.31262,647.32367,90,64,74,99,100,75.944,70.318,71.55,79.434,80.426
181,0.027664166,0.02205431,0.023703882,0.032175645,0.03430096,0.05437224,0.027847288,0.031875383,0.52843255,1.1921014,-266.4869,-339.73953,-318.1997,-207.57666,-179.82465,71.04108,-40.434044,-9.2606735,411.14374,546.589,250.27731,177.44568,197.9293,289.03717,296.57748,87.055855,27.197485,31.866894,444.30084,524.43494,89,64,74,99,100,75.192,69.678,71.74,79.564,80.35
182,0.027664166,0.02205431,0.023703882,0.032175645,0.03430096,0.054113384,0.027847288,0.032012876,0.52843255,1.1471751,-266.4869,-339.73953,-318.1997,-207.57666,-179.82465,78.53754,-47.850063,-15.325417,404.3059,482.58685,249.32277,179.54645,196.8538,289.03717,296.57748,85.8839,26.650988,31.852306,438.28864,509.29822,89,64,72,99,100,75.72,70.356,71.544,79.57,80.488
183,0.027664166,0.02205431,0.023647362,0.032175645,0.03430096,0.058872055,0.027847288,0.032121696,0.59687644,1.1471751,-266.4869,-339.73953,-318.93774,-207.57666,-179.82465,78.53754,-51.273026,-13.773096,404.3059,474.97473,253.93,182.09496,196.8538,289.03717,296.57748,86.15644,26.650988,30.86203,438.28864,501.68958,90,64,72,99,100,75.512,71.026,71.478,79.212,80.222
