-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
54,1721770,32,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
55,1759916,32,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
56,1797615,33,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
57,1836393,31,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
58,1872991,33,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
59,1907455,34,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
60,1943961,34,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
61,1979509,33,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
62,2016922,34,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
63,2055241,32,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
64,2094099,34,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
65,2131203,33,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
66,2171564,34,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
67,2209906,35,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
68,2250014,33,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
69,2289741,35,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
70,2327561,37,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
71,2364487,36,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
72,2403994,36,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
73,2441214,37,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
74,2477929,35,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
75,2517197,38,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
76,2555009,39,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
77,2594258,40,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
78,2630535,40,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
79,2668211,40,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
80,2707457,40,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
81,2747000,39,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
82,2787668,40,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
83,2824435,41,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
84,2862991,41,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
85,2903179,43,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
86,2943891,43,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
87,2982223,44,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
88,3018577,44,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
89,3056857,42,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
90,3092998,38,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
91,3128580,40,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
92,3164946,39,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
93,3201925,39,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
94,3240986,40,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
95,3280021,39,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
96,3317998,39,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
97,3356974,39,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
98,3397630,40,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
99,3433322,40,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
100,3470760,42,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
101,3509512,40,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
102,3546367,42,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
103,3586037,42,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
104,3626765,41,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
105,3664857,41,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
106,3702323,41,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
107,3740415,41,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
108,3778224,43,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
109,3816223,45,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
110,3852758,45,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
