gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
32,0.0016482898,0.00085567066,0.0010346723,0.002465283,0.0029783316,0.003987333,0.0028081997,0.0029439137,0.008085418,0.011079488,-1035.708,-1055.0831,-1050.7075,-1015.73706,-1003.19586,-775.62396,-912.8603,-899.11005,-416.47104,-307.24414,81,37,40,98,99,59.754,49.106,51.824,66.198,68.376
33,0.001621371,0.00084619643,0.0010226459,0.002375092,0.0029783316,0.0040066014,0.002782336,0.002977164,0.008225148,0.008838551,-1036.366,-1055.3147,-1051.0015,-1017.9417,-1003.19586,-772.8847,-910.38574,-883.78827,-466.2911,-386.13443,79,39,44,97,99,61.82,50.776,54.086,68.024,70.312
34,0.001565804,0.00084572507,0.0009126067,0.002233824,0.002590586,0.0040963315,0.0028657615,0.003048145,0.008107897,0.009021702,-1037.7244,-1055.3262,-1053.6914,-1021.3949,-1012.6741,-775.62396,-908.61536,-881.50775,-452.2034,-381.3285,80,40,47,95,97,63.63,51.576,55.628,69.232,70.95
35,0.0014638932,0.0007864996,0.00088096224,0.0021377096,0.002501325,0.0041947314,0.002782336,0.0030297684,0.0077415337,0.008838551,-1040.2155,-1056.7739,-1054.4648,-1023.7444,-1014.856,-773.2734,-910.384,-879.2181,-411.38016,-285.22687,82,41,50,96,99,64.298,53.242,57.008,70.152,73.006
36,0.0014453633,0.00073167664,0.00084572507,0.0020893766,0.002205442,0.0042924564,0.002782336,0.0030311584,0.007985193,0.012798535,-1040.6685,-1058.1141,-1055.3262,-1024.9259,-1022.08875,-765.23694,-900.2308,-879.2181,-455.23358,-347.8949,82,41,52,98,99,65.722,55.804,57.974,70.368,72.54
37,0.0014304643,0.0007302138,0.00084572507,0.0020562075,0.0021563172,0.00432355,0.0027826908,0.0030370096,0.008310289,0.012799366,-1041.0326,-1058.1499,-1055.3262,-1025.7367,-1023.28955,-763.21936,-900.2308,-879.2181,-455.23358,-357.44937,83,41,52,97,99,66.33,57.022,58.842,70.702,72.622
38,0.0013853406,0.00070288085,0.0007800054,0.0019835245,0.0021563172,0.0043686894,0.0030297684,0.0031154254,0.00861629,0.013168028,-1042.1356,-1058.818,-1056.9327,-1027.5133,-1023.28955,-746.466,-911.3856,-875.04553,-455.23358,-351.52805,85,41,52,97,98,67.152,57.972,60.022,71.44,72.998
39,0.0013119638,0.00070288085,0.00077664776,0.0019442162,0.0021563172,0.0045746686,0.0030297684,0.0031336835,0.007920862,0.013171151,-1043.9293,-1058.818,-1057.0148,-1028.4742,-1023.28955,-758.78687,-911.3856,-869.04926,-456.53748,-382.15405,84,39,53,98,99,68.4,60.064,60.806,72.288,73.982
40,0.0013109645,0.0006997641,0.0007498209,0.0019340714,0.0021111493,0.0043760687,0.0030297684,0.0031348828,0.007920862,0.013171192,-1043.9537,-1058.8942,-1057.6705,-1028.7222,-1024.3937,-760.0512,-911.3856,-860.6026,-443.47372,-422.83215,84,41,53,98,100,68.378,60.154,62.018,73.254,74.266
41,0.0012573495,0.0006646473,0.0007498209,0.0019062953,0.0021111493,0.0043550683,0.0030114604,0.0031409909,0.008007304,0.013171505,-1045.2643,-1059.7526,-1057.6705,-1029.4011,-1024.3937,-756.1755,-911.3856,-855.5998,-426.47778,-383.55038,84,41,55,98,100,68.932,60.382,62.338,73.824,75.112
42,0.0012537651,0.0006646473,0.00073167664,0.0018774756,0.0021086726,0.0046180645,0.0030373074,0.0032335236,0.007962877,0.0131713925,-1045.3519,-1059.7526,-1058.1141,-1030.1057,-1024.4542,-758.25183,-889.28973,-847.09827,-424.2387,-347.8949,84,43,61,99,99,69.232,62.122,63.026,73.876,75.044
43,0.0012318405,0.0006579364,0.00070435513,0.0018164393,0.0021086605,0.004760805,0.0031202398,0.0033188257,0.009727526,0.013304835,-1045.8878,-1059.9166,-1058.782,-1031.5977,-1024.4545,-748.3401,-881.7661,-846.65894,-424.27042,-347.8949,85,44,61,99,100,70.114,62.492,63.894,74.106,75.072
44,0.0012195498,0.0006579364,0.00070435513,0.0017698917,0.002093241,0.0047120983,0.0030417475,0.003166463,0.009509957,0.01336125,-1046.1884,-1059.9166,-1058.782,-1032.7355,-1024.8314,-750.8013,-881.7661,-846.65894,-446.04175,-347.8949,86,44,61,99,100,69.732,62.386,63.86,74.226,74.952
45,0.0012149934,0.0006277749,0.0007005273,0.001667144,0.0020837747,0.0046716225,0.0030373074,0.0032065227,0.009509852,0.01339585,-1046.2997,-1060.6539,-1058.8755,-1035.2471,-1025.0627,-750.8013,-895.35474,-856.0921,-401.73563,-364.174,87,43,61,99,100,70.482,62.726,64.566,74.792,75.934
46,0.0011840353,0.0006241698,0.0007005273,0.001667144,0.0020448396,0.0044906056,0.0031202398,0.0033386813,0.009509863,0.013417224,-1047.0564,-1060.7421,-1058.8755,-1035.2471,-1026.0145,-761.86505,-904.43536,-874.00354,-478.91653,-379.18304,86,43,58,99,100,70.472,63.804,65.118,75.132,75.924
47,0.0011486736,0.0006159056,0.0006847285,0.001667144,0.0018922425,0.0047003073,0.0030373074,0.0032691336,0.009195594,0.012871741,-1047.9208,-1060.9441,-1059.2617,-1035.2471,-1029.7448,-760.3043,-889.28973,-857.51654,-516.62256,-408.27264,87,44,59,99,100,70.386,65.194,66.198,74.976,75.902
48,0.0010896166,0.00056392245,0.0006646473,0.0016655617,0.0018883417,0.004767857,0.0030312806,0.003329076,0.009195594,0.013439328,-1049.3645,-1062.2147,-1059.7526,-1035.2858,-1029.8401,-756.11365,-880.89075,-853.50745,-507.14673,-406.53107,86,47,60,100,100,70.774,64.798,66.292,75.378,76.864
49,0.0010805979,0.00056392245,0.0006646473,0.0016624543,0.0018498542,0.004879485,0.0031202398,0.0033328768,0.008797426,0.013444069,-1049.5848,-1062.2147,-1059.7526,-1035.3617,-1030.7809,-747.4135,-865.9477,-850.72156,-472.74377,-370.53177,88,47,61,99,99,71.228,65.774,66.774,74.964,76.688
50,0.0010080002,0.00056392245,0.0006594895,0.0016624543,0.0018106318,0.004718836,0.0030274715,0.0033328838,0.00838906,0.013447128,-1051.3595,-1062.2147,-1059.8787,-1035.3617,-1031.7396,-755.81647,-889.28973,-854.1309,-452.47818,-369.32504,86,47,59,99,99,70.978,65.21,67.012,75.424,76.47
