-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,size,Expression
39,2885104,-3787.2637,-3662.1863,3.2158234e-5,3.7298974e-5,0.8336989,0.73638785,-3787.2637,-3699.2688,38.28,45,"(0.123563245 + (-0.0009995964 * ((((X1 * -11.501087) - -55.63838) * (X1 + (-1.2095889 * -1.2370586))) + ((((5.042914 + exp(X5)) - -6.663153) * (62.671574 * ((((1.9706625 * (exp(0.06767899) * X7)) - (-0.54853547 + -7.0198927)) * 0.00020901918) * (X2 + -7.8145995)))) * (-1.5396601 * -5.2708797))))) [likelihood params: Float32[-0.0056708315]]"
40,2971611,-3787.264,-3662.2156,3.215822e-5,3.7298974e-5,0.83369905,0.73638785,-3787.264,-3699.2688,38.936,45,"(0.123563245 + (-0.0009995964 * ((((X1 * -11.501087) - -55.63838) * (X1 + (-1.2095889 * -1.2370586))) + ((((5.042914 + exp(X5)) - -6.663153) * (62.671574 * ((((1.9706625 * (exp(0.06767899) * X7)) - (-0.54853547 + -7.0198927)) * 0.0002090192) * (X2 + -7.8145995)))) * (-1.5396601 * -5.2708797))))) [likelihood params: Float32[-0.0056708315]]"
41,3065593,-3787.264,-3662.2156,3.215822e-5,3.7298974e-5,0.83369905,0.73638785,-3787.264,-3699.2688,39.254,45,"(0.123563245 + (-0.0009995964 * ((((X1 * -11.501087) - -55.63838) * (X1 + (-1.2095889 * -1.2370586))) + ((((5.042914 + exp(X5)) - -6.663153) * (62.671574 * ((((1.9706625 * (exp(0.06767899) * X7)) - (-0.54853547 + -7.0198927)) * 0.0002090192) * (X2 + -7.8145995)))) * (-1.5396601 * -5.2708797))))) [likelihood params: Float32[-0.0056708315]]"
42,3158116,-3788.9407,-3643.6875,3.2051514e-5,3.4693418e-5,0.8342508,0.7548027,-3788.9407,-3739.9285,39.488,50,"(0.21918409 + (-0.0014116574 * ((((X1 * -10.320438) - -55.864613) * (X1 + exp(0.64037645))) + ((((2.3011086 + exp(X5)) - (X2 + -6.94982)) * (62.671436 * (((0.00037002386 * (X1 + -7.524493)) - (0.0008517573 * ((X2 * -0.2551269) + X7))) * (X1 + log(abs((1.13164 - -10.407079)))))) * (-1.5337027 * -5.2690763))))) [likelihood params: Float32[-0.0056614093]]"
43,3249520,-3788.9407,-3643.6875,3.2051514e-5,3.4693418e-5,0.8342508,0.7548027,-3788.9407,-3739.9285,39.758,50,"(0.21918409 + (-0.0014116574 * ((((X1 * -10.320438) - -55.864613) * (X1 + exp(0.64037645))) + ((((2.3011086 + exp(X5)) - (X2 + -6.94982)) * (62.671436 * (((0.00037002386 * (X1 + -7.524493)) - (0.0008517573 * ((X2 * -0.2551269) + X7))) * (X1 + log(abs((1.13164 - -10.407079)))))) * (-1.5337027 * -5.2690763))))) [likelihood params: Float32[-0.0056614093]]"
44,3341809,-3788.9407,-3643.6875,3.2051514e-5,3.4693418e-5,0.8342508,0.7548027,-3788.9407,-3739.9285,39.792,50,"(0.21918409 + (-0.0014116574 * ((((X1 * -10.320438) - -55.864613) * (X1 + exp(0.64037645))) + ((((2.3011086 + exp(X5)) - (X2 + -6.94982)) * (62.671436 * (((0.00037002386 * (X1 + -7.524493)) - (0.0008517573 * ((X2 * -0.2551269) + X7))) * (X1 + log(abs((1.13164 - -10.407079)))))) * (-1.5337027 * -5.2690763))))) [likelihood params: Float32[-0.0056614093]]"
45,3432444,-3788.9407,-3643.6875,3.2051514e-5,3.4693418e-5,0.8342508,0.7548027,-3788.9407,-3739.9285,39.378,50,"(0.21918409 + (-0.0014116574 * ((((X1 * -10.320438) - -55.864613) * (X1 + exp(0.64037645))) + ((((2.3011086 + exp(X5)) - (X2 + -6.94982)) * (62.671436 * (((0.00037002386 * (X1 + -7.524493)) - (0.0008517573 * ((X2 * -0.2551269) + X7))) * (X1 + log(abs((1.13164 - -10.407079)))))) * (-1.5337027 * -5.2690763))))) [likelihood params: Float32[-0.0056614093]]"
46,3521861,-3788.9407,-3643.6875,3.2051514e-5,3.4693418e-5,0.8342508,0.7548027,-3788.9407,-3739.9285,38.142,50,"(0.21918409 + (-0.0014116574 * ((((X1 * -10.320438) - -55.864613) * (X1 + exp(0.64037645))) + ((((2.3011086 + exp(X5)) - (X2 + -6.94982)) * (62.671436 * (((0.00037002386 * (X1 + -7.524493)) - (0.0008517573 * ((X2 * -0.2551269) + X7))) * (X1 + log(abs((1.13164 - -10.407079)))))) * (-1.5337027 * -5.2690763))))) [likelihood params: Float32[-0.0056614093]]"
47,3622546,-3788.9407,-3643.6875,3.2051514e-5,3.4693418e-5,0.8342508,0.7548027,-3788.9407,-3739.9285,37.81,50,"(0.21918409 + (-0.0014116574 * ((((X1 * -10.320438) - -55.864613) * (X1 + exp(0.64037645))) + ((((2.3011086 + exp(X5)) - (X2 + -6.94982)) * (62.671436 * (((0.00037002386 * (X1 + -7.524493)) - (0.0008517573 * ((X2 * -0.2551269) + X7))) * (X1 + log(abs((1.13164 - -10.407079)))))) * (-1.5337027 * -5.2690763))))) [likelihood params: Float32[-0.0056614093]]"
48,3713505,-3788.9407,-3643.6875,3.2051514e-5,3.4693418e-5,0.8342508,0.7548027,-3788.9407,-3739.9285,38.576,50,"(0.21918409 + (-0.0014116574 * ((((X1 * -10.320438) - -55.864613) * (X1 + exp(0.64037645))) + ((((2.3011086 + exp(X5)) - (X2 + -6.94982)) * (62.671436 * (((0.00037002386 * (X1 + -7.524493)) - (0.0008517573 * ((X2 * -0.2551269) + X7))) * (X1 + log(abs((1.13164 - -10.407079)))))) * (-1.5337027 * -5.2690763))))) [likelihood params: Float32[-0.0056614093]]"
49,3802483,-3788.9407,-3643.6875,3.2051514e-5,3.4693418e-5,0.8342508,0.7548027,-3788.9407,-3739.9285,38.926,50,"(0.21918409 + (-0.0014116574 * ((((X1 * -10.320438) - -55.864613) * (X1 + exp(0.64037645))) + ((((2.3011086 + exp(X5)) - (X2 + -6.94982)) * (62.671436 * (((0.00037002386 * (X1 + -7.524493)) - (0.0008517573 * ((X2 * -0.2551269) + X7))) * (X1 + log(abs((1.13164 - -10.407079)))))) * (-1.5337027 * -5.2690763))))) [likelihood params: Float32[-0.0056614093]]"
50,3895162,-3788.9407,-3643.6875,3.2051514e-5,3.4693418e-5,0.8342508,0.7548027,-3788.9407,-3739.9285,39.212,50,"(0.21918409 + (-0.0014116574 * ((((X1 * -10.320438) - -55.864613) * (X1 + exp(0.64037645))) + ((((2.3011086 + exp(X5)) - (X2 + -6.94982)) * (62.671436 * (((0.00037002386 * (X1 + -7.524493)) - (0.0008517573 * ((X2 * -0.2551269) + X7))) * (X1 + log(abs((1.13164 - -10.407079)))))) * (-1.5337027 * -5.2690763))))) [likelihood params: Float32[-0.0056614093]]"
253.791095 seconds (48.01 M allocations: 2.081 GiB, 0.15% gc time, 6666 lock conflicts, 2.99% compilation time: 8% of which was recompilation)
